og_number	global_number	parent_layer_group_number	family_number	magnetic_type	litvin_og_symbol_ascii	magnetic_point_group_symbol	source_pdf_page	point_operation_names	primed_operation_indices	anti_translation	corresponding_msg_bns_number	corresponding_msg_uni_number	corresponding_msg_og_number	basis_transform
1.1.1	1	1	1	I	p1	1	13	1			1.1	1	1.1.1	I
1.2.2	2	1	2	II	p11'	11'	15	1			1.2	2	1.2.2	I
1.3.3	3	1	3	IV	p2a1	11'	17	1		1,0,0	1.3	3	1.3.3	I
2.1.4	4	2	1	I	p-1	-1	19	1,-1			2.4	4	2.1.4	I
2.2.5	5	2	2	II	p-11'	-11'	21	1,-1			2.5	5	2.2.5	I
2.3.6	6	2	3	III	p-1'	-1'	23	1,-1	2		2.6	6	2.3.6	I
2.4.7	7	2	4	IV	p-2a1	-11'	25	1,-1		1,0,0	2.7	7	2.4.7	I
3.1.8	8	3	1	I	p112	2	27	1,2_001			3.1	8	3.1.8	I
3.2.9	9	3	2	II	p1121'	21'	29	1,2_001			3.2	9	3.2.9	I
3.3.10	10	3	3	III	p112'	2'	31	1,2_001	2		3.3	10	3.3.10	I
3.4.11	11	3	4	IV	p2a112	21'	33	1,2_001		1,0,0	3.4	11	3.4.11	P3
4.1.12	12	4	1	I	p11m	m	35	1,m_001			6.18	25	6.1.25	I
4.2.13	13	4	2	II	p11m1'	m1'	37	1,m_001			6.19	26	6.2.26	I
4.3.14	14	4	3	III	p11m'	m'	39	1,m_001	2		6.20	27	6.3.27	I
4.4.15	15	4	4	IV	p2a11m	m1'	41	1,m_001		1,0,0	6.21	28	6.4.28	P3
4.5.16	16	4	5	IV	p2a11m'	m1'	43	1,m_001		1,0,0	7.28	35	6.7.31	I
5.1.17	17	5	1	I	p11a	m	45	1,m_001			7.24	31	7.1.32	I
5.2.18	18	5	2	II	p11a1'	m1'	47	1,m_001			7.25	32	7.2.33	I
5.3.19	19	5	3	III	p11a'	m'	49	1,m_001	2		7.26	33	7.3.34	I
5.4.20	20	5	4	IV	p2b11a	m1'	51	1,m_001		0,1,0	7.27	34	7.4.35	I
6.1.21	21	6	1	I	p112/m	2/m	53	1,2_001,-1,m_001			10.42	49	10.1.49	I
6.2.22	22	6	2	II	p112/m1'	2/m1'	55	1,2_001,-1,m_001			10.43	50	10.2.50	I
6.3.23	23	6	3	III	p112'/m	2'/m	57	1,2_001,-1,m_001	2,3		10.44	51	10.3.51	I
6.4.24	24	6	4	III	p112/m'	2/m'	59	1,2_001,-1,m_001	3,4		10.45	52	10.4.52	I
6.5.25	25	6	5	III	p112'/m'	2'/m'	61	1,2_001,-1,m_001	2,4		10.46	53	10.5.53	I
6.6.26	26	6	6	IV	p2a112/m	2/m1'	63	1,2_001,-1,m_001		1,0,0	10.47	54	10.6.54	P3
6.7.27	27	6	7	IV	p2a112'/m'	2/m1'	65	1,2_001,-1,m_001		1,0,0	13.72	79	10.10.58	I
7.1.28	28	7	1	I	p112/a	2/m	67	1,2_001,-1,m_001			13.65	72	13.1.77	I
